"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Sub-Saharan Africa (IFC classification)","CAA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","1078933920.75593","1161829400.99463","1327722465.81597","1268076358.99718","1440450422.9886","1542739300.91388","1633667433.1463","1598481303.04842","1682436678.65408","1780289797.16765","1808124379.54554","1859242921.41076","1776449393.12988","1821480236.13311","1949635781.16478","2138632628.21204","2089441878.61433","2242596772.80773","2380984490.82595","2502869084.70606","2493098378.43562","2564916998.6644","2590931317.92651","2457677444.5416","2552041204.85047","2700032165.98875","2893045823.39447","3087064430.00988","3218436740.56542","3301917609.18313","3456508838.43872","3639479017.21548","3878254018.92471",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","271282945457.009","307102603073.316","316498661129.068","337959925569.589","371041265096.696","400650409517.05","419524577119.29","450192034248.026","488917568860.256","520725103848.508","541903883995.133","549371066529.892","567340049689.311","593352573975.426","634866660599.273","666239265090.507","689963230377.531","731875027874.902","770475818460.321","825019104643.058","874086093262.708","909847896920.459","937829320471.483","989274809576.026","1048820536104.11","1131999961695.52","1200850128750.83","1262848987444.47","1298955724798.86","1274897145913.29","1333487247505.06","1427357403807.26","1483585959453.09",
"East Asia and the Pacific (IFC classification)","CEA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","90050385487.3001","100067387258.17","104774140576.636","109614588130.378","117152938915.747","125165898643.299","130342963448.554","136291930966.267","145623143699.256","157683518962.099","169798965292.086","174206934251.534","178266094651.368","181949734227.117","188114450339.847","192940992929.266","198673133792.572","208306175701.705","215158340076.318","219486731856.429","233555732526.11","240948227737.197","252261908192.762","253680564320.696","265309993360.502","274902468421.701","305956822805.299","337799081909.543","366672503560.784","363007521645.81","381226766765.501","405329342636.369","426781735049.8",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","26038545591.8765","29828108130.0215","28378634090.3915","28384076521.4283","31798253200.845","35102283603.6667","37895532810.9299","41996205049.0751","47091970712.3257","54579112991.098","59375684505.2109","67046275377.0598","77839486620.9749","85959802883.1973","93698359602.3417","106868970829.649","117122142874.887","127010234147.747","132527915040.149","133379086334.758","150108085152.056","158651009202.862","164720969396.169","174845655625.121","190630862112.271","208688903210.955","256101383727.383","279522356145.881","276616377375.175","274723668812.456","318764903502.952","363203937943.176","390374472696.075",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","245466577707.134","282433152526.913","326908534180.701","376882001922.142","450474103065.422","526902625309.524","586088209095.493","673238372122.167","775408170183.593","837586185839.233","902387695686.476","1018895042132.77","1188086927431.41","1384113185618.74","1597304627578.13","1812621816935.9","2029190253926.83","2260661017603.97","2471228613085","2698031369617.94","2987947806786.7","3309309472764.01","3669086248998.97","4121011961874.42","4664795599655.17","5364250894569.5","6240537817852.2","7333304998498.2","8215034924130.82","9049661910160.2","10124475779603.4","11301487020281.2","12470982025050.7",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","10633897191.1641","12037670919.4492","12796747079.8493","12784080044.0316","12905910323.7048","13898716249.7568","14672624284.5403","15049818362.5692","15750902993.2748","16825647854.7526","17272386961.8303","17866673629.5219","18198389439.0284","18561571133.2306","19093128094.8031","20929499707.3694","22946458936.7078","24726433464.1245","26265428459.5436","27073354063.6635","26635702586.2804","27233776136.8046","27280030204.3876","27421434515.558","28698100857.7873","30023069144.3874","31203581325.3556","32658758303.9359","34158733081.129","35751159661.5216","37096879879.1693","36094587433.7497","40456666301.8261",
